"intervention_id","intervention","effort","personas_affected","affected_rate","completion_lift_pp","wow_lift_pp","love_lift_points","time_to_value_reduction_seconds","priority_score"
"role_next_action","Role-specific next-best-action home","M","5000","100","8.1","8.3","6.4","11.8","5.6"
"time_back_outcome","Show the time-back outcome at completion","S","5000","100","0","7.9","7.9","0","4.5"
"partsnap_direct","Direct PartSnap entry with no blocking role picker","S","3000","60","4.6","5.4","3.5","6.2","3.8"
"first_use_language","First-use language and visual-step choice","L","4000","80","7.5","7.3","7.4","8.9","2.5"
"feedback_after_value","Delay feedback until after value is absorbed","S","5000","100","1","3.8","3.7","1","1.9"
"counter_demo_packet","Counter sample part and vendor packet demo","S","1000","20","1.8","3","2","2.9","1.5"
"trainer_sample","Trainer opens on a five-minute sample lesson","M","1000","20","2.4","3.7","2.4","3.7","0.6"
"homeowner_nav","Homeowner-safe four-item navigation","M","1000","20","2.2","3.1","2.1","3","0.2"
"optional_identity","Optional save and identity only after first success","L","5000","100","2.3","4.7","5.2","0","-1"
"facility_proof","Facility evidence capture and durable incident packet","L","1000","20","0.7","1.8","1.5","-0.4","-3.7"
