"rank","persona_id","role","role_label","work_setting","life_stage","time_pressure","personal_priority","primary_goal","completed_first_value","wow_moment","love_score","use_again_score","family_time_back_resonance_score","outcome_tier","primary_pain_point"
"1","DEMO-TEST-SL-5000-FACILITY-0710","facility","Facility / CPO","fitness or medical facility","raising young children","elder-care responsibility","get home for dinner","run a daily pool check","true","true","98.5","94.5","98.5","strong_aha","facility completion packet needs richer evidence capture"
"2","DEMO-TEST-SL-5000-FACILITY-0119","facility","Facility / CPO","municipal or school facility","established family","elder-care responsibility","avoid a weekend callback","document a dose","true","true","98.2","93.5","93.7","strong_aha","facility completion packet needs richer evidence capture"
"3","DEMO-TEST-SL-5000-FACILITY-0139","facility","Facility / CPO","municipal or school facility","sandwich caregiver","protect dinner at home","feel confident without calling a boss","record equipment proof","true","true","97.9","91.4","90","strong_aha","facility completion packet needs richer evidence capture"
"4","DEMO-TEST-SL-5000-FACILITY-0207","facility","Facility / CPO","swim school","raising young children","unpredictable on-call schedule","avoid a weekend callback","prepare an escalation packet","true","true","97.1","92.8","98.4","strong_aha","facility completion packet needs richer evidence capture"
"5","DEMO-TEST-SL-5000-FACILITY-0356","facility","Facility / CPO","hotel or resort","raising young children","elder-care responsibility","feel confident without calling a boss","record equipment proof","true","true","96.9","94.5","93.2","strong_aha","facility completion packet needs richer evidence capture"
"6","DEMO-TEST-SL-5000-FACILITY-0870","facility","Facility / CPO","swim school","established family","unpredictable on-call schedule","get home for dinner","respond to a contamination event","true","true","96.6","94","93.2","strong_aha","facility completion packet needs richer evidence capture"
"7","DEMO-TEST-SL-5000-FACILITY-0286","facility","Facility / CPO","hotel or resort","early career","second job or side work","get home for dinner","run a daily pool check","true","true","96.5","93.2","93.3","strong_aha","facility completion packet needs richer evidence capture"
"8","DEMO-TEST-SL-5000-FACILITY-0806","facility","Facility / CPO","municipal or school facility","raising young children","elder-care responsibility","protect customer or facility trust","record equipment proof","true","true","96.2","93","93.2","strong_aha","facility completion packet needs richer evidence capture"
"9","DEMO-TEST-SL-5000-FACILITY-0192","facility","Facility / CPO","fitness or medical facility","sandwich caregiver","school or daycare pickup","avoid a weekend callback","respond to a contamination event","true","true","95.9","92.3","98.1","strong_aha","facility completion packet needs richer evidence capture"
"10","DEMO-TEST-SL-5000-FACILITY-0318","facility","Facility / CPO","fitness or medical facility","established family","elder-care responsibility","protect customer or facility trust","prepare an escalation packet","true","true","95.6","92.8","88.1","strong_aha","facility completion packet needs richer evidence capture"
"11","DEMO-TEST-SL-5000-FACILITY-0271","facility","Facility / CPO","hotel or resort","late career or empty nest","school or daycare pickup","teach the next person faster","document a dose","true","true","95.6","89.2","88.7","strong_aha","facility completion packet needs richer evidence capture"
"12","DEMO-TEST-SL-5000-FACILITY-0743","facility","Facility / CPO","municipal or school facility","late career or empty nest","second job or side work","protect customer or facility trust","prepare an escalation packet","true","true","95.4","92.1","88.2","strong_aha","facility completion packet needs richer evidence capture"
"13","DEMO-TEST-SL-5000-FACILITY-0581","facility","Facility / CPO","hotel or resort","late career or empty nest","school or daycare pickup","get home for dinner","respond to a contamination event","true","true","95.3","93.2","92.9","strong_aha","facility completion packet needs richer evidence capture"
"14","DEMO-TEST-SL-5000-FACILITY-0215","facility","Facility / CPO","hotel or resort","sandwich caregiver","elder-care responsibility","teach the next person faster","run a daily pool check","true","true","95.1","93","92.9","strong_aha","facility completion packet needs richer evidence capture"
"15","DEMO-TEST-SL-5000-TECH-0298","tech","Service Tech","solo residential route","raising young children","school or daycare pickup","teach the next person faster","identify an equipment code","true","true","94.7","91.9","92.9","strong_aha",""
"16","DEMO-TEST-SL-5000-TECH-0282","tech","Service Tech","solo residential route","raising young children","elder-care responsibility","get home for dinner","identify an equipment code","true","true","94.7","91.7","97.9","strong_aha",""
"17","DEMO-TEST-SL-5000-FACILITY-0091","facility","Facility / CPO","hotel or resort","early career","elder-care responsibility","feel confident without calling a boss","run a daily pool check","true","true","94.7","89.7","88.4","strong_aha","facility completion packet needs richer evidence capture"
"18","DEMO-TEST-SL-5000-FACILITY-0134","facility","Facility / CPO","apartment or HOA pool","established family","elder-care responsibility","teach the next person faster","respond to a contamination event","true","true","94.6","92.3","87.9","strong_aha","facility completion packet needs richer evidence capture"
"19","DEMO-TEST-SL-5000-FACILITY-0677","facility","Facility / CPO","swim school","sandwich caregiver","protect dinner at home","get home for dinner","prepare an escalation packet","true","true","94.6","89.9","94.2","strong_aha","facility completion packet needs richer evidence capture"
"20","DEMO-TEST-SL-5000-FACILITY-0042","facility","Facility / CPO","municipal or school facility","established family","protect dinner at home","get home for dinner","respond to a contamination event","true","true","94.5","92","88.9","strong_aha","facility completion packet needs richer evidence capture"
"21","DEMO-TEST-SL-5000-TECH-0111","tech","Service Tech","commercial pool route","late career or empty nest","unpredictable on-call schedule","avoid a weekend callback","save visit proof","true","true","94.5","91.1","93","strong_aha","language or visual-step preference is absent from first use"
"22","DEMO-TEST-SL-5000-FACILITY-0143","facility","Facility / CPO","swim school","established family","school or daycare pickup","avoid a weekend callback","respond to a contamination event","true","true","94.5","90.5","93","strong_aha","facility completion packet needs richer evidence capture"
