"pain_point","count","cohort_rate","affected_roles","rate_within_affected_roles","source_type"
"value requires too many first-session decisions","4008","80.2","counter|facility|homeowner|tech|trainer","80.2","derived_from_modeled_time_to_value"
"language or visual-step preference is absent from first use","4000","80","counter|facility|homeowner|tech|trainer","80","stress_test_condition"
"online dependency interrupts the first-value path","1200","24","counter|trainer","60","stress_test_condition"
"dynamic workflow state needs stronger screen-reader announcements","1000","20","counter|facility|homeowner|tech|trainer","20","stress_test_condition"
"dense supporting copy is difficult to scan","1000","20","counter|facility|homeowner|tech|trainer","20","stress_test_condition"
"too many tools remain visible after role choice","1000","20","counter|facility|homeowner|tech|trainer","20","stress_test_condition"
"secondary controls need larger touch targets","1000","20","counter|facility|homeowner|tech|trainer","20","stress_test_condition"
"facility completion packet needs richer evidence capture","1000","20","facility","100","browser_or_workflow_anchor"
"proof packet value is invisible before the first successful scan","1000","20","counter","100","browser_or_workflow_anchor"
"training value is hidden until after a PartSnap result","1000","20","trainer","100","browser_or_workflow_anchor"
"technical navigation remains too broad for homeowner mode","1000","20","homeowner","100","browser_or_workflow_anchor"
"saving value and no-account expectations need a clearer bridge","245","4.9","counter|facility|homeowner|tech","6.1","stress_test_condition"
"service-tech start favors code lookup over the PartSnap fork","200","4","tech","20","browser_or_workflow_anchor"
